,3d%,3d%_allowed,TOP,date,first_downs,first_downs_allowed,margin,opp,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,result,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,team,total_points,total_yards,total_yards_allowed,turnovers
87,0.4666666666666667,0.3333333333333333,29.35,09/24/2017,22,21,3,CincinnatiCin,280,191,33,65,3,0,Win,64,110,6,3,1,Green BayGB,3,344,301,1
88,0.3333333333333333,0.38461538461538464,30.433333333333334,09/24/2017,16,24,14,LA ChargersLAC,122,226,122,51,24,10,Win,189,104,5,2,3,Kansas CityKC,34,311,330,0
89,0.38461538461538464,0.3333333333333333,29.566666666666666,09/24/2017,24,16,-14,Kansas CityKC,226,122,61,68,10,24,Loss,104,189,2,5,0,LA ChargersLAC,34,330,311,3
90,0.0,0.4666666666666667,21.9,09/24/2017,7,18,-17,WashingtonWas,96,356,35,48,10,27,Loss,32,116,4,1,2,OaklandOak,37,128,472,3
91,0.4666666666666667,0.0,38.1,09/24/2017,18,7,17,OaklandOak,356,96,77,65,27,10,Win,116,32,1,4,3,WashingtonWas,37,472,128,2
92,0.2222222222222222,0.4444444444444444,23.75,09/25/2017,15,22,11,ArizonaAri,174,283,76,45,28,17,Win,99,49,1,6,0,DallasDal,45,273,332,0
93,0.4444444444444444,0.2222222222222222,36.25,09/25/2017,22,15,-11,DallasDal,283,174,50,75,17,28,Loss,49,99,6,1,0,ArizonaAri,45,332,273,0
94,0.4166666666666667,0.5,31.85,09/28/2017,20,17,-21,Green BayGB,205,169,62,64,14,35,Loss,103,91,1,2,0,ChicagoChi,49,308,260,4
95,0.5,0.4166666666666667,28.15,09/28/2017,17,20,21,ChicagoChi,169,205,55,53,35,14,Win,91,103,2,1,4,Green BayGB,49,260,308,0
96,0.46153846153846156,0.125,34.46666666666667,10/01/2017,22,11,20,MiamiMia,261,128,71,70,20,0,Win,86,58,1,4,1,New OrleansNO,20,347,186,0
97,0.125,0.46153846153846156,25.533333333333335,10/01/2017,11,22,-20,New OrleansNO,128,261,90,47,0,20,Loss,58,86,4,1,0,MiamiMia,20,186,347,1
98,0.46153846153846156,0.38461538461538464,28.75,10/01/2017,15,25,6,AtlantaAtl,164,242,55,59,23,17,Win,117,147,3,1,3,BuffaloBuf,40,281,389,0
99,0.38461538461538464,0.46153846153846156,31.25,10/01/2017,25,15,-6,BuffaloBuf,242,164,45,72,17,23,Loss,147,117,1,3,0,AtlantaAtl,40,389,281,3
